Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
173,KAB 2361,INVERTER,,,227,single,,115,single,60,,Cont,AN,H,,48/24,4.73,50,"2 Py, 2 Sy","one, one","24, 12","L-R, L-R","24, 12","one, one","12X4 Cu, 10x4 Cu","F/G covered,F/G covered","3 ab, 2 Ss,3 ab-(6 consuctors)",48x51,DRG.No: 105 102 372-p31-2 Nos,"135x213, 184x262","164x242, 213(230)x291(3100","318(330), 280(330)","14.5, 14.5",-,-,-,-,"10, 10",-,"Series at Finish, Series at Finish",-,"Same conductor, 30x10 Cu. Busbar",10 thick F/G duct,20,120X170,250,350,41 CRGO,96,224,dpd 105 102 331-p6,280 W,1200 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 928 P3,20.12.2010
174,KAB 2321,FAN SUPPLY,,,129,single,,230,single,1.2,,Cont,AN,H,,120/214,1.075,50,"one Py, one Sy","one, one","120, 214","L-R, L-R","40, 50","3, 5","13 SWG Cu, 15 SWG Cu","SE, SE","one, one","1.6, 2.2","Std bobbin suitable for Type 8,3""stack-F/G-1 No","56x82, 75x101","74x100, 101x127","110, 110","9, 13","6 Mil class 'H' insulation, 6 Mil class 'H' insulation",-,-,-,-,-,-,-,"Same conductor, Same conductor","18 Mil class-'H"" insulation",8,"Type-8, 3"" stack",-,-,51 CRGO,96,12,Std,18 W,50 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,"205 200 326, 4 Nos","205 603 337, 2 Nos",105 009 403,21.09.2010
175,KAB 2320,D.C FILTER,,2mH,,single,,,,,,Cont,AN,H,,43,,100,one,one,43,L-R,7 1/2,6,12x3 Cu,F/G covered,one,4.7,"Std bobbin suitable for Type-8, Sq.stack -F/G-1 No",,108x108,110,26,6 Mil class 'H' insulation,-,-,-,-,-,-,-,Same Conductor,-,5,"Type-8,sq.stack",-,-,51 CRGO,96,8,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 326x4,DPD 205 603 337x1,GA 105 009 400 *,24.07.2010
176,KAB 2319/A,CHARGER,,,240,single,,17,single,1.05,,Cont,AN,H,,325/23,,50,"one Py, one Sy","one, one","325,23","L-R, L-R","56, 7","6, 4","16 SWG Cu, 12x3 Cu","SE, F/G covered","one, one","1.9, 2.8","Std bobbin suitable for Type-8, Sq.stack -F/G-1 No","56x56, 85x85","84x84, 111x111","110, 110","14, 13","6 Mil class 'H' insulation, 6 Mil class 'H' insulation",-,-,-,-,-,-,-,"Same conductor, Same conductor","18 Mil class-'H"" insulation",4,"Type-8,sq.stack",-,-,51 CRGO,96,8,Std,12 W,60 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,"205 200 326, 4 Nos","205 603 337,2 Nos",105 009 400,23.07.2010
177,KAB 2319,CHARGER,,,240,single,,14,single,1.05,,Cont,AN,H,,325/19,,50,"one Py, one Sy","one, one","325, 19","L-R, L-R","56, 7","6, 3","16 SWG Cu, 12x3 Cu","SE, F/G covered","one, one","1.9, 2.6","Std bobbin suitable for Type-8, Sq.stack -F/G-1 No","56x56, 85x85","84x84, 111x111","110, 110","14, 13","6 Mil class 'H' insulation, 6 Mil class 'H' insulation",-,-,-,-,-,-,-,"Same conductor, Same conductor","18 Mil class-'H"" insulation",4,"Type-8,sq.stack",-,-,51 CRGO,96,8,Std,12 W,60 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,"205 200 326, 4 Nos","205 603 337,2 Nos",105 009 400,23.07.2010
178,KAB 2318,SERIES,,,7,single,,,,,,Cont,AN,H,,11,,50,one,one,11,L-R,4,3,10x3 Cu,F/G covered,2 SS,2.2,"Std bobbin suitable for Type 8,3""stack-F/G-1 No",56x81,80x105,110,12,6 Mil class 'H' insulation,-,-,-,-,-,-,-,Same Conductor,-,15,"Type-8, 3"" stack",-,-,51 CRGO,96,12,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 326, 4 Nos","205 603 337,1 Nos",105 009 403 *,22.07.2010
179,KAB 2317,BUCK BOOST,,,125,single,,22,single,16,,Cont,AN,H,,68/12,1.838,50,"2 Py, 2 Sy","one, one","34, 6","L-R, L-R","17, 6","2, one","10x3 Cu, 12x4 Cu","F/G covered,F/G covered","2 ab, 2 Ss, 4 ab(8 Conductors)","18, 33",DRG.No: 105 102 372-P20-2 Nos,"79x127, 133x181","113x161, 173(180)x221(230)","195(210), 190(210)","17, 20","6 Mil class 'H' insulation, -",-,-,-,"10, 10",-,"Series at Finish, Series at Finish",-,"Same conductor,50x8 Cu. Busbar",10 thick F/G duct,20,70x90,200,230,41 CRGO,96,49,DPD 105 102 329-P4,65 W,550 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 925 P3,21.07.2010
180,KAB 2316,3 Ph  To 1 Ph ,,,415,3 Ph  Open Delta,,99-230,Rev.Open Delta,81,,Cont,AN,H,,72/10-23,5.76,50,"2 Py, 2 Sy","one, one","72, 23","L-R, L-R","36, 10 turns in Ist layer & 13 turns in 2nd layer)","2, 1+1","7x4 Cu, 12x4 Cu","F/G covered,F/G covered","2 ab, 2 SS, 4 ab (8 conductors)upto Tap,then one)","57, 91",DRG.No: 105 102 372-P19-2 Nos,"109x237, 171x299","151x279, 221(228)x349(360)","296(315), 286(315)","21, 25","6 Mil class 'H' insulation, 6 Mil class 'H' insulation",-,-,-,"10, 10",-,"Open Delta, Series at finish"," -, at 10","Same Conductor, 50x8 Cu.busbar",10 thick F/G duct,21,100x200,185,335,41 CRGO,96,298,DPD 105 102 340-P19,360 W,1600 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 900 P4,17.07.2010
181,KAB 2315,SERIES,,0.086mH,7,single,,,,,,Cont,AN,H,,7,,50,one,one,7,L-R,1 3/4,4,12x4 Cu,F/G covered,3 SS,4.5,"Std bobbin suitable for Type 8,4""stack-F/G-1 No",56x106,100x150,110,22,6 Mil class 'H' insulation,-,-,-,-,-,-,-,Same Conductor,-,9,"Type 8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 326, 4 Nos",205 603 337x1 No,DGA 105 009 402 *,12.07.2010
182,KAB 2314,SERIES,,0.024mH,6,single,,,,,,Cont,AN,H,,4+4=8,,50,2,one,4,L-R,2,2,12x4 Cu,F/G covered,"4 SS,2 ab (Total 8 conductors)",17,DRG.No: 105 102 372-P7-2 Nos,79x127,119(125)x167(175),170(190),20,6 Mil class 'H' insulation,-,-,-,10,-,Series at Finish,-,50x8 Cu busbar,-,20,70x90,145,210,41 CRGO,96,42,DPD 105 102 402-P1,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 925 P2,10.07.2010
