Index,KAB_No,Type,C_per_T,Inductance,Py_Volts,Phase1,KVA1,Sy_Volts,Phase2,KVA2,Connections,Rating,Cooling,Th_Cl,KVA_average,Turns,V_per_T,HZ,No_of_Coils,Sections_per_coil,Turns_per_section,Sense_of_winding,Turns_per_layer,No_Of_Layers,Size_of_conductor,Insulation,No_Of_parall_conductors,Wt_of_cu_per_Al_conductor_in_Kg,Former,Coil_dia_inner,Coil_Dia_outer,Ht_of_section_axial,Depth_of_wtg_Radial,Inter_layer_insulation,Radial_spacing,Axial_spacing,Clearance_Bet_Sections,Yoke_clearance,Inter_connection_of_sections,Inter_connection_of_coils,Tappings,Connecting_wirers,Clearance_Bt_Ht_and_Lt,Clearance_in_window,Core,C_D,Ht,Grade,Percentage,Kg,Drg_No,Core_loss,Conductor_loss,Total_losses,Resistance,Ambiant,Windings,Oil,Ohms_at_C,Test_particulars,App_Py_E,App_Sy_E,Induced,Impulse,Specification,Clamp_No,Terminal_board_no,Assy_No,Date
1,KAB 2327,DC Filter,,2mH,80,single,,,,,,Cont,,F,,40+40=80,,300,2,one,40,L-R,20,2,7x3Cu,F/G covered,2 al,12.2,DRG.No:105 372-P26-2 Nos,59x117,91(95)x149(160),166(180),16,6 Mil Nomex,-,-,-,10,-,Series at Finish,-,Same conductor,-,20,50x80,115,200,41 CRGO,96,23,DPD 105 102 201-P26,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,,,105 009 890 p14,28.10.2010
2,KAB 2568,CONVERTER FILTER,,1.8mH,15,single,,,,,,Cont,AN,F,,32,,50,one,one,32,L-R,8 1/2,4,13 SWG Cu,SE,2 ss,0.75,"Std bobbin suitable for Type -16, 2 1/2 ""stack-F/G-1 No",44x69,68x93,52,12,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,2,"Type-16,2 1/2"" stack",-,-,51 CRGO,96,4.1,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,DPD 205200 337x4,DPD 205 603 334X1,105 009 387 *,28.06.2012
3,KAB 2567,OUT PUT FILTER,,2.5mH,8,single,,,,,,Cont,AN,F,,37,,50,one,one,37,L-R,13,3,12 SWG Cu,SE,one,0.5,"Std bobbin suitable for Type -3, 2 1/2 ""stack-F/G-1 No",37x69,57x89,42,10,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,1,"Type-3, 2 1/2"" Stack",-,-,51 CRGO,96,3.2,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 334X4,DPD 205 603 335X1,105 009 374 *,27.06.2012
4,KAB 2566,INPUT FILTER,,2mH,3.5,single,,,,,,Cont,AN,F,,28,,50,one,one,28,L-R,14,2,15 SWG Cu,F/G covered,one,0.15,"Std bobbin suitable for Type-15,2"" stack-F/G-1 No",30x56,40x66,33,5,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,3,"Type-15,2"" stack",-,-,51 CRGO,96,1.4,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 336x4 ,DPD 205 603 339x1,105 009 384 *,27.06.2012
5,KAB 2565,INVERTER,,,170,single,,240,single,1,,Cont,AN,F,,230/325,,50,"one Py, one Sy","one,one","230,325","L-R,L-R","46,55","5,6","14 SWG Cu,16 SWG Cu","SE,SE","one,one","2.4,3","Std bobbin suitable for  Type-8,36""-F/G-1 No","56x82,85x111","84x110,115x141","110,110","14,15","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil Nomex,2,"Tye-8,3"" stack",-,-,51 CRGO,96,12,Std,15 W,55 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,DPD 205 200 326x4,DPD 205 603 337x2,105 009 403,26.06.2012
6,KAB 2458,CONTROL,,,328,single,,200,single,0.5,,Cont,AN,H,,349/209,0.959,50,"one Py, one Sy","one,one","342,209","L-R,L-R","54,43","7,5","20 SWG Cu,18 SWG Cu","SE,SE","one,one","0.7,0.9","Std bobbin suitable for Type-43,2 1/2"" stack-F/G-1No","59x69,76x89","75x88,94x107","68,68","9.5,9","6 Mil class-'H'insulation,6Mil class-'H' insulation",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil class-'H' insulation,1,"Type-43,2 1/2"" stack",-,-,51 CRGO,96,7.125,Std,10 W,20 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,205 200 335x4,205 603 338x2,105 009 378,22.12.2011
7,KAB 2457,CONTROL,,,240,single,,350,single,1.27,,Cont,AN,H,,201/293,1.194,50,"one Py, one Sy","one,one","201,293","L-R,L-R","48,62","5,5","15 SWG Cu,17 SWG Cu","SE,SE","one,one","1.8,2","Std bobbin suitable for Type-8,3""stack-F/G-1 No","56x82,83x109","82x108,103x129","110,110","13,10","6 Mil class-'H'insulation,6Mil class-'H' insulation",-,-,-,-,-,-,-,Same conductor,18 Mil class-'H' insulation,5,"Type-8,3"" stack",-,-,51 CRGO,96,12,Std,18 W,50 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,205 200 326,205 603 337,DGA 105 009 403,21.12.2011
8,KAB 2444,D.C FILTER,,0.2mH,25,single,,,,,,Cont,AN,H,,9+9=18,,300,2,one,9,L-R,one,9,0.6x305 Cu foil,"Bare,Electrolytic,Annealed-Is 3052&Is 1897",2 ab,34,DRG.No:105 102 261-P12 -2 Nos,109x137,145(150)x173(205),325,18,6 Mil class-'H'insulation,-,-,-,9,-,Series at Finish,-,50x8 Cu busbar,-,20,100x100,170,343,41 CRGO,96,92,ED 2068 P-15,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 940 P2,14.12.2011
9,KAB 2443,CHARGER,,,415,3 Ph  Delta,,0-17-34-52,3 Ph  Star,58.8,Dy 11,Cont,AN,H,,124/0-3-6-9,3.346,50,"3 Py, 3 Sy","one,one","124,9","L-R,L-R","31,9","4,one","7x3 Cu,12x4 Cu","F/G covered, F/G covered","one,2ss,3 ab (6 conductors)","41.5,64",DRG. No:105 102 413-P30-3 Nos,"109x152,169x212","143x186,199(205)x242(260)","256 (285),265 (285)","17,15","6 Mil class-'H'insulation,-",-,-,-,"10,10",-,"Delta, Star at Finish"," -,at 3& 6","Same conductor, 40x8 Cu busbar",13 thick F/G duct,20,100x115,225,305,41 CRGO,96,178,DPD 105 102 340-P31,225 W,1400 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 920 P29,10.12.2011
10,KAB 2538,INPUT SERIES,,0.12mH,5,single,,,,,,Cont,AN,H,,8,,50,one,one,8,L-R,5,2,8x4 Cu,F/G covered,2 ss,2,"Std bobbin suitable for Type-8, 4"" stack-F/G-1 No",56x107,76x127,110,10,6 Mil class-'H' insulation,-,-,-,-,-,-,-,Same conductor,-,15,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 326x4,DPD 205 603 337x1,105 009 402*,29.06.2012
11,KAB 2537,OUT PUT SERIES,,0.3mH,11,single,,,,,,Cont,AN,H,,11+11=22,,50,2,one,11,L-R,11,one,8x4 Cu,F/G covered,2 ab,5.6,DRG.No: 105 102 316-P13-2 Nos,79x107,99(105)x127(135),108(120),10,-,-,-,-,10,-,Series at Finish,-,Same conductor,-,20,70x70,125,140,41 CRGO,96,26,DPD 105 102 201-P25,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,GA 105 009 885 P15,26.06.2012
12,KAB 2536,INVERTER,,,149,single,,220,single,25,,Cont,AN,H,,72/106,2.07,50,"2 Py, 2 Sy","one,one","36,53","L-R,L-R","18,26 1/2","2,2","10x4 Cu,7x4 Cu","F/G covered, F/G covered","2 ab, 2 ab","30,43",DRG.No: 105 102 413-P41-2 Nos,"79x162,139x222","119x202,179(185)x262(270)","209(240),222(240)","20,20","6 Mil class-'H'insulation,6Mil class-'H' insulation",-,-,-,"10,10",-,"Series at Finish, Series at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,70x125,205,260,41 CRGO,96,72,DPD 105 102 331-P12,90 W,850 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,GA 105 009 938 P4,25.06.2012
13,KAB 2535 ,INPUT,,,415,3 Ph  Star-N,,157,3 Ph  Delta,33.25,Y d1,Cont,AN,H,,93/61,2.576,50,"3 Py, 3 Sy","one,one","93,61","L-R,L-R","46 1/2,15 1/4","2,4","4x3 Cu,4x3 Cu","F/G covered, F/G covered","2 ab, 3 ss","36,48.5",DRG.No: 105 102 316-P6-3  Nos,"79x187,131x239","11x219,165(175)x273(285)","235(260),246(260)","16,17","6 Mil class-'H'insulation,6Mil class-'H' insulation",-,-,-,"10,10",-,"Star at Finish, Delta",-,"Same conductor,Same conductor",10 thick F/G duct,20,70x150,195,280,41 CRGO,96,142,DPD 105 102 340-P38,180 W,900 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,GA 105 009 943 P9,
14,KAB 2525,SERIES,,0.32mH,6,single,,,,,,Cont,AN,H,,14,,50,one,one,14,L-R,7,2,7x4 Cu,F/G covered,one,1.2,"Std bobbin suitable for Type-43,3""stack-F/G-1 No",56x82,76x102,68,10,6 Mil class-'H'insulation,-,-,-,-,-,-,-,Same conductor,-,7,"Type-43,3"" stack",-,-,51 CRGO,96,8.55,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,,28.07.2012
15,KAB 2522,INPUT SERIES,,0.06mH,4.5,single,,,,,,Cont,AN,H,,6,,50,one,one ,6,L-R,4,2,10x3 Cu,F/G covered,2 ss+2 ab (Total:4),3,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,88x139,110,16,6 Mil class-'H'insulation,-,-,-,-,-,-,-,Same conductor,-,12,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,,13.07.2012
16,KAB 2519,INPUT,,,415,3 Ph  Star-N,,154,3 Ph  Delta,62,Y d1,Cont,AN,H,,84/54,2.852,50,"3 Py, 3 Sy","one,one","84,54","L-R,L-R","42,18","2,3","6x3 Cu,7x4 Cu","F/G covered, F/G covered","2 ab, 3 ss","49,67",DRG.No: 105 102 413-P43 -3  Nos,"109x157,161x209","141x189,193(200)x241(250)","298(315),301(305)","16,16","6 Mil class-'H'insulation,6Mil class-'H' insulation",-,-,-,"10,10",-,"Star at Finish, Delta",-,"Same conductor,Same conductor",10 thick F/G duct,20,100x120,220,335,41 CRGO,96,191,DPD 105 102 340-P39,240 W,1700 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,**DGA 105 009 943,06.07.2012
17,KAB 2517,SERIES,,0.2mH,5.5,single,,,,,,Cont,AN,H,,12,,50,one,one,12,L-R,9,2,10x4 Cu,F/G covered,one,1.5,"Std bobbin suitable for Type-8,3""stack-F/G-1 No",56x82,76x102,110,10,6 Mil class-'H'insulation,-,-,-,-,-,-,-,Same conductor,-,15,"Type-8,3"" stack",,,51 CRGO,96,12,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 326x4,DPD 205 603 337x1,105 009 403*,20.06.2012
18,KAB 2516,BOOST,,,110,single,,44,single,9,,Cont,AN,H,,80/32,1.375,50,"2 Py, 2 Sy","one,one","40,16","L-R,L-R","20,16","2,one","10x4 Cu,6x4 Cu","F/G covered, F/G covered","one, 2ss,2ab (Total 4)","12.5,17",DRG.No: 105 102 413-P40 -2 Nos,"79x112,119x152","29x132,139(145)x172(180)","230(260),234(260)","10,10","6 Mil class-'H'insulation,-",-,-,-,"10,10",-,"Series at Finish ,Series at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,70X75,165,280,41 CRGO,96,42,DPD 105 102 331-P11,55 W,350 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 938 P3,18.06.2012
19,KAB 2515,3 Ph  To 1 Ph ,,,415,3 Ph  open Delta,,220,Rev Open Delta,45,,Cont,AN,H,,101/31,4.1,50,"2 Py, 2 Sy","one,one","101,31","L-R,L-R","33 2/3,31","3,one","8x4 Cu,8x4 Cu","F/G covered, F/G covered","one, 3 ab","38,46.5",DRG.No: 105 102 372 P34 -2 Nos,"109x186, 159x236","139x216, 188(195)x265(275)","310(320),288(320)","15,14.5","6 Mil class-'H'insulation,-",-,-,-,"10,10",-,"Open Delta, Series at start",-,"Same conductor,Same conductor",10 thick F/G duct,27,100x150,175,340,41 CRGO,96,220,DPD 105 102 340-P37,275 W,1000 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 900 P10,21.06.2012
20,KAB 2514,INPUT SERIES,,0.129mH,7.25,single,,,,,,Cont,AN,H,,8,,50,8,one,8,L-R,8,one,10x3 Cu,F/G covered,3 ab,2.75,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,80x131,110,12,-,-,-,-,-,-,-,-,Same conductor,-,15,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,DPD 205 200 326x4,DPD 205 603 337x1,105 009 402*,12.06.2012
21,KAB 2513,OUTPUT SERIES,,0.17mH,11,single,,,,,,Cont,AN,H,,8+8=16,,50,2,one,8,L-R,8,one,10x4 Cu,F/G covered,3 ab,9,DRG.No: 105 102 373-P1 -2 Nos,79x127,108(110)x156(160),98(120),14.5,-,-,-,-,10,-,-,-,Same conductor,-,20,70x90,130,140,41 CRGO,96,33.5,105 102 248-P10,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,,,105 009 931 P7,15.06.2012
22,KAB 2512,INVERTER,,,233,single,,220,single,45,,Cont,AN,H,,72/68,3.236,50,"2 Py, 2 Sy","one,one","36,34","L-R,L-R","36,34","one,one","8x4 Cu,8x4 Cu","F/G covered, F/G covered","3 ab,3 ab","81,100",DRG.No: 105 102 413-P39 -2 Nos,"109x187,158x236","138x216,187(195)x265(275)","328(340),314(340","14.5,14.5",-,-,-,-,"10,10",-,"Series at Finish,Series at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,100x150,215,360,41 CRGO,96,155,DPD 105 102 331-P10,200 w,2100 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 934 P4,14.06.2012
23,KAB 2511,INPUT,,,415,3 Ph  Star-N,,252,3 Ph  Delta,78.13,,Cont,AN,H,,70/74,3.422,50,"3 Py, 3 Sy","one,one","70,74","L-R,L-R","35,37","2,2","7X4 Cu,7X4 Cu","F/G covered, F/G covered","2 ab, 2 ab                                                                                                              ","69,10",DRG.No: 105 102 316-P38 -F/G - 3 Nos,"109x176,169x236","149x216,209(215)x276(285)","285(320),300(320)","20,20","6 Mil class-'H'insulation,6Mil class-'H' insulation",-,-,-,"10,10",,"Star at Finish, Delta",-,"Same conductor,Same conductor",10 thick F/G duct,20,100x40,235,340,41 CRGO,96,231,DPD 105 102 340-P36,300 W,1700 W,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 11171,,,105 009 943 P6,13.06.2012
24,KAB 2510,OUTPUT SERIES,,0.5mH,,single,,,,,,Cont,AN,F,,20,,50,one,one,20,L-R,20,one,18 SWG Cu,SE,one,0.03,"Std bobbin suitable for Type-15,sq-stack-F/G-1 No",30x30, 34x34,33,2,-,-,-,-,-,-,-,-,Same conductor,-,5,"Type-15,Sq.stack",-,-,51 CRGO,96,0.7,Std,,,,,50 DegreeC MAX,115 DegreeC MAX,,,,,,,,IS 5553,"205 200 336,4 Nos","205 603 339,1No",105 009 380 *,25.05.2012
25,KAB 2509,INPUT SERIES,,0.441mH,,single,,,,,,Cont,AN,F,,15,,50,one,one,15,L-R,9,2,11 SWG Cu,SE ,one,0.2,"Std bobbin suitable for Type-15,2""stack-F/G-1 No",30x56,45x71,33,7.5,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,1,"Type-15,2"" stack",-,-,51 CRGO,96,1.4,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 336,4 Nos","205 603 339,1No",105 009 384 *,23.05.2012
26,KAB 2508,INVERTER,,,30,single,,230,single,0.506,,Cont,AN,F,,58/445,0.519,50,"one Py, one Sy","one,one","58,445","L-R,L-R","29,67","2,7","10 SWG Cu,18 SWG Cu","SE,SE","one,one","1.15,1.85","Std bobbin suitable for Type-8,sq-stack-F/G-1 No","56x56,73x73","72x72,101x101","110,110",8x14,"6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil Nomex,8,"Type-8,sq stack",-,-,51  CRGO,96,8,Std,12 W,28 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,"205 200 326,4 Nos","205 603 337,2 Nos",105 009 400,22.05.2012
27,KAB 2493,D.C FILTER,,3mH,15,single,,,,,,Cont,AN,F,,,,100,one,one,53,L-R,16,4,12 SWG Cu,SE,one,0.65,"Std bobbin suitable for Type-16,sq-stack-F/G-1 No",44x44,70x70,52,13,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,1,"Type-16,Sq.stack",-,-,51 CRGO,96,2.45,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 337,4 Nos","205 603 334,1No",105 009 385 *,
28,KAB 2492,CHARGER,,,240,single,,17,single,0.187,,Cont,AN,F,,336/24,0.714,50,"one Py, one Sy","one,one","336,24","L-R,L-R","57,14","6,2","22 SWG Cu,12 SWG Cu","SE,SE","one,one","0.3,0.4","Std bobbin suitable for Type-16,2 1/2""stack-F/G-1 No","44x69,58x83","57x82,71x96","52,52","6.5,6.5","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil Nomex,1,"Type-16, 2 1/2"" stack",-,-,51 CRGO,96,4.1,Std,8 W,8 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,"205 200 337,4 Nos","205 603 334,2 Nos",105 009 387,18.04.2012
29,KAB 2491,D.C FILTER,,3mH,15,single,,,,,,Cont,AN,F,,40,,100,one,one,40,L-R,11,4,8x4 Cu,F/G covered,one ,4.2,"Std bobbin suitable for Type-8, 3""stack-F/G-1 No",56X82,98X124,110,21,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,8,"Type-8,3"" stack",-,-,51 CRGO,96,12,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337,1 No",105 009 401 *,16.04.2012
30,KAB 2490,CHARGER,,,240,single,,17,single,1.38,,Cont,AN,F,,252/18,0.952,50,"one Py, one Sy","one,one","252,18","L-R,L-R","49,9","6,2","15 SWG Cu,10x4 Cu","SE,F/G covered","one,one","2.15,3","Std bobbin suitable for Type-8, 3""stack-F/G-1 No","56x82,89x115","88x114,111x137","110,110","16,11","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil Nomex,4,"Type-8,3"" stack",-,-,51 CRGO,96,12,Std,15 W,60 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,"205 200 326,4 Nos","205 603 337,2 Nos",105 009 401,
31,KAB 2489,D.C FILTER,,3mH,15,single,,,,,,Cont,AN,F,,40,,100,one,one,40,L-R,12,4,7x3 Cu,F/G covered,one,2.2,"Std bobbin suitable for Type-8,sq-stack-F/G-1 No",56x56,90x90,110,117,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,13,"Type-8,sq stack",-,-,51 CRGO,96,8,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,205 200 326x4 Nos,205 603 337x1 No,105 009 400  *,10.04.2012
32,KAB 2488,CHARGER,,,240,single,,17,single,0.85,,Cont,AN,F,,335/24,0.716,50,"one Py, one Sy","one,one","335,24","L-R,L-R","60,12","6,2","17 SWG Cu,7x3 Cu","SE,F/G covered","one,one","1.5,1.7","Std bobbin suitable for Type-8,sq-stack-F/G-1 No","56x56,83x83","82x82,99x99","110,110","13,8","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil Nomex,8,"Type-8,sq stack",-,-,51 CRGO,96,8,Std,12 W,40 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,205 200 326x4 Nos,205 603 337x2 Nos,105 009 400,07.04.2011
33,KAB 2487                                                                                                                                                                                                                                              ,D.C FILTER,,2mH,15,single,,,,,,Cont,AN,F,,26,,100,one,one,26,L-R,11,3,8x3 Cu,F/G covered,2 ab,4.4,"Std bobbin suitable for Type-8, 3""stack-F/G-1 No",56x82,106x132,110,25,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,5,"Type-8,3"" stack",-,-,51 CRGO,96,12,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,205 200 326x4 Nos,205 603 337x1 No,105 009 403 *,03.04.2012
34,KAB 2486,CHARGER,,,240,single,,17,single,2.125,,Cont,AN,F,,168/12,1.43,50,"one Py, one Sy","one,one","168,12","L-R,L-R","39,7","5,2","13 SWG Cu,12x4 Cu","SE,F/G covered","one,one","2.7,2.75","Std bobbin suitable for Type-8,4""stack-F/G-1 No","56x107,87x138","86x137,109x160","110,110","15,11","6 Mil Nomex,6 Mil Nomex",-,-,-,-,-,-,-,"Same conductor,Same conductor",18 Mil Nomex,5,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,25 W,75 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,205 200 326x4 Nos,205 603 337x2 Nos,105 009 402,02.04.2012
35,KAB 2485,CONTROL,,,415,single,,Sy 1:04-47.7-53.3-58.8-65,single,0.092,,Cont,AN,B,,740/0-85-95105-106/0-54-108,0.56,50,"one Py, one Sy 1,one Sy 2","one,one,one","740,116,108","L-R,L-R,L-R","83,58,36","9,2,3","28 SWG Cu,24 SWG Cu,21 SWG Cu","SE,SE,SE","one,one,one ","0.175,0.07,0.15","Std bobbin suitable for Type-3,2 1/2""stack-F/G-1 No","38x69,49x80,53x84","48x79,52x83,60x91","42,42,42","5,1.5,3.5","3 Mil polyester Film,3 Mil polyester ,3 Mil polyester ",-,-,-,-,-,-," -,at 85,95&105,at 54",Same conductor with suitable sleeve,18 Mil Nomex b/w all windings,0.5,"Type-3,2 1/2"" stack",-,-,51 CRGO,96,3.1,Std,5 W,5 W,,,50 DegreeC MAX,70 DegreeC MAX,,,,,,,,IS 3156,205 200 334x4,205 900 537x1 No,6A 105 009 374,27.02.2012
36,KAB 2484,D.C FILTER,,3mH,38,single,,,,,,Cont,AN,F,,46,,300,one,one,46,L-R,11,5,13 SWG Cu,SE,2 SS,1.3,"Std bobbin suitable for Type-43,3""stack-F/G-1 No",56x82,86x112,68,15,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,3,"Type-43,3"" stack",-,-,51 CRGO,96,8.6,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,205 200 335-4 Nos,205 603 338-1 No,105 009 379 *,24.03.2012
37,KAB 2484,D.C FILTER,,3mH,38,single,,,,,,Cont,AN,F,,46,,300,one,one,46,L-R,11,5,13 SWG Cu,SE,2 SS,1.3,"Std bobbin suitable for Type-43,3""stack-F/G-1 No",56x82,86x112,68,15,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,3,"Type-43,3"" stack",-,-,51 CRGO,96,8.6,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,205 200 335-4 Nos,205 603 338-1 No,105 009 379 *,24.03.2012
38,KAB 2483,CHARGER,,,415,3 Ph  Delta,,121.5,3 Ph  Star,6.3,Dy 11,Cont,AN,F,,330/56,1.2575,50,"3 Py, 3 Sy","one,one","330,56","L-R,L-R","66,28","5,2","18 SWG Cu,10 SWG Cu","SE,SE","one,one","5,7",DRG.No: 105 102 316 -P13-3 Nos,"79x107,111x139","99x127,127(130)x155(160)","106(120),104(120)","10,8","6 Mil Nomex,6 Mil Nomex",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",6 thick F/G duct,20,70x70,150,140,M27 CRNGO 0.35 thick,96,45,DPD 105 102 398-P10,90 W,210 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,GA 105 009 930 P24,23.03.2012
39,KAB 2482,D.C FILTER,,3mH,38,single,,,,,,Cont,AN,F,,46,,300,one,one,46,L-R,14,4,11 SWG Cu,SE,2 SS,2,"Std bobbin suitable for Type-8, 3""stack-F/G-1 No",56x82,86x112,110,15,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,12,"Type-8,3"" stack",-,-,51 CRGO,96,11.7,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,205 200 326x4 Nos,205 603 337x1 No,GA 105 009 403 *,21.03.2012
40,KAB 2481,CHARGER,,,415,3 Ph  Delta,,121.5,3 Ph  Star,6.44,Dy 11,Cont,AN,F,,330/56,1.2575,50,"3 Py, 3 Sy","one,one","330,56","L-R,L-R","82 1/2,28","4,2","16 SWG Cu,12 SWG Cu","SE,SE","one,2 SS","8.5,10",DRG.No:105 102 316-P1-3 Nos,"79x107,119x147","99x127,133(137)x161(165)","162(190),172(190)","10,7","6 Mil Nomex,6 Mil Nomex",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,18,70x70,155,210,M27 CRGO 0.35 thick,96,53,DPD 105 102 398-P9,100 W,320 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,GA 105 009 930P23,20.03.2012
41,KAB 2480,D.C FILTER,,2mH,38,single,,,,,,Cont,AN,F,,37,,300,one,one,37,L-R,7 1/2,5,12x4 Cu,F/G covered,one,6.8,"Std bobbin suitable for Type-8,4""stack-F/G-1 No",56x107,104x155,110,24,6 Mil Nomex,-,-,-,-,-,-,-,Same conductor,-,7,"Type-8,4"" stack",-,-,51 CRGO,96,16,Std,,,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 5553,"205 200 326,4 Nos","205 603 337,1 No",105 009 402 *,09.03.2012
42,KAB 2479,CHARGER,,,415,3 Ph  Delta,,121.5,3 Ph  Star,21.46,Dy 11,Cont,AN,F,,195/133,2.128,50,"3 Py, 3 Sy","one,one","195,33","L-R,L-R","65,16 1/2","3,2","11 SWG Cu,10x4 Cu","SE,F/G covered","one,one","19,25",DRG.No: 105 102 413-P37-3 Nos,"79x157,123x201","103x181,144(150)x222(230)","215(230),195(230)","12,10.5","6 Mil Nomex,6 Mil Nomex",-,-,-,"10,10",-,"Delta, Star at Finish",-,"Same conductor,Same conductor",10 thick F/G duct,20,70x120,170,250,M27 CRGO 0.35 thick,96,101,DPD 105 102 398-P8,200 W,720 W,,,50 DegreeC MAX,90 DegreeC MAX,,,,,,,,IS 11171,,,105 009 930 P22,16.03.2012
